chr27	0	9300	83	0.00000042
chr27	9300	16200	68	0.00000002
chr27	16200	18000	83	0.00000042
chr27	18000	35300	68	0.00000002
chr27	35300	40400	58	0.00000001
chr27	40400	48400	56	0.00000001
chr27	48400	88000	54	0.00000001
chr27	88000	96000	56	0.00000001
chr27	96000	101000	58	0.00000001
chr27	101000	127900	68	0.00000002
chr27	127900	136400	83	0.00000042
chr27	136400	160100	68	0.00000002
chr27	160100	178600	83	0.00000042
chr27	178600	196500	68	0.00000002
chr27	196500	206100	58	0.00000001
chr27	206100	227900	56	0.00000001
chr27	227900	237800	58	0.00000001
chr27	237800	254800	68	0.00000002
chr27	254800	262000	83	0.00000042
chr27	262000	274800	68	0.00000002
chr27	274800	275100	83	0.00000042
chr27	275100	289000	68	0.00000002
chr27	289000	289100	60	0.00000001
chr27	289100	294700	58	0.00000001
chr27	294700	301200	56	0.00000001
chr27	301200	307400	54	0.00000001
chr27	307400	311900	52	0.00000001
chr27	311900	313600	50	0.00000001
chr27	313600	316000	43	0.00000001
chr27	316000	324300	41	0.00000000
chr27	324300	351500	39	0.00000000
chr27	351500	413100	37	0.00000000
chr27	413100	444600	39	0.00000000
chr27	444600	455400	41	0.00000000
chr27	455400	459600	43	0.00000001
chr27	459600	461000	45	0.00000001
chr27	461000	462000	50	0.00000001
chr27	462000	465100	52	0.00000001
chr27	465100	469100	54	0.00000001
chr27	469100	472000	56	0.00000001
chr27	472000	480800	68	0.00000002
chr27	480800	488600	56	0.00000001
chr27	488600	516700	54	0.00000001
chr27	516700	527600	56	0.00000001
chr27	527600	533800	58	0.00000001
chr27	533800	545000	68	0.00000002
chr27	545000	547200	83	0.00000042
chr27	547200	568800	68	0.00000002
chr27	568800	585700	83	0.00000042
chr27	585700	590400	68	0.00000002
chr27	590400	593500	83	0.00000042
chr27	593500	598600	68	0.00000002
chr27	598600	603300	83	0.00000042
chr27	603300	616700	68	0.00000002
chr27	616700	617600	83	0.00000042
chr27	617600	634700	68	0.00000002
chr27	634700	645500	60	0.00000001
chr27	645500	662500	68	0.00000002
chr27	662500	670000	83	0.00000042
chr27	670000	684900	68	0.00000002
chr27	684900	689100	60	0.00000001
chr27	689100	700500	58	0.00000001
chr27	700500	704500	60	0.00000001
chr27	704500	719600	68	0.00000002
chr27	719600	726400	83	0.00000042
chr27	726400	740300	68	0.00000002
chr27	740300	743800	58	0.00000001
chr27	743800	749500	56	0.00000001
chr27	749500	754900	54	0.00000001
chr27	754900	759600	52	0.00000001
chr27	759600	764100	50	0.00000001
chr27	764100	764800	48	0.00000001
chr27	764800	771700	47	0.00000001
chr27	771700	827600	45	0.00000001
chr27	827600	835100	47	0.00000001
chr27	835100	836400	48	0.00000001
chr27	836400	836800	49	0.00000001
chr27	836800	842000	50	0.00000001
chr27	842000	847400	52	0.00000001
chr27	847400	853200	54	0.00000001
chr27	853200	859500	56	0.00000001
chr27	859500	865600	58	0.00000001
